DateTime,AddedIPs,RemovedIPs
1578714266,36,66
1578714978,52,32
1578715704,45,66
1578716420,64,39
1578717154,46,70
1578717862,66,39
1578718597,42,31
1578719309,28,65
1578720063,34,38
1578720755,36,51
1578721463,47,35
1578722181,76,20
1578722908,16,56
1578723627,62,36
1578724356,35,40
1578725073,24,90
1578725787,88,33
1578726503,25,64
1578727219,65,42
1578727951,43,69
1578728659,44,42
1578729382,41,49
1578730108,34,39
1578730820,87,32
1578731552,41,37
1578732267,32,26
1578732977,40,59
1578733959,51,42
1578734661,47,49
1578735384,37,58
1578736290,74,43
1578736897,35,37
1578737548,48,55
1578738262,50,47
1578738985,51,52
1578739719,39,38
1578740430,47,26
1578741142,47,43
1578741865,36,30
1578742580,35,79
1578743306,43,49
1578744030,69,27
1578744763,30,66
1578745459,74,30
1578746183,38,85
1578746902,72,28
1578747626,52,35
1578748357,29,71
1578749062,69,27
1578749790,26,90
1578750502,49,47
1578751226,63,39
1578751946,78,39
1578752664,37,68
1578753384,73,76
1578754103,27,52
1578754837,78,31
1578755542,38,57
1578756261,48,27
1578756980,24,78
1578757700,55,29
1578758427,58,30
1578759152,42,72
1578759863,46,57
1578760583,39,52
1578761299,45,51
1578762027,100,57
1578762762,61,79
1578763463,41,45
1578764181,89,29
1578764912,45,43
1578765620,48,62
1578766360,47,67
1578767071,63,64
1578767782,38,48
1578768502,93,44
1578769233,31,124
1578769963,103,46
1578770665,63,49
1578771381,33,32
1578772099,44,68
1578772852,64,46
1578773558,38,63
1578774260,34,48
1578774983,37,42
1578775708,75,43
1578776431,40,20
1578777149,30,93
1578777861,89,46
1578778581,40,42
1578779304,33,29
1578780111,34,36
1578780788,30,72
1578781476,78,43
1578782186,40,72
1578782889,76,45
1578783622,32,71
1578784336,66,25
1578785049,29,109
1578785778,62,52
1578786751,53,93
1578787482,105,50
1578788651,144,30
1578789375,19,20
1578790846,37,36
1578791574,32,30
1578792246,61,34
1578792969,26,71
1578793696,29,28
1578794447,64,20
1578795150,33,53
1578795853,45,32
1578796571,12,35
1578797290,69,24
1578798013,25,70
1578798754,66,23
1578799461,19,35
1578800187,29,56
1578800902,68,26
1578801622,18,61
1578802344,50,28
1578803060,37,30
1578803786,23,29
1578804747,32,35
1578805469,30,33
1578806188,26,32
1578806897,36,60
1578807630,24,37
1578808338,63,23
1578809077,23,24
1578809783,30,69
1578810507,25,37
1578811221,38,22
1578811939,69,22
1578812912,20,30
1578813624,27,28
1578814454,32,60
1578815064,21,25
1578815782,68,26
1578816755,27,52
1578817463,62,23
1578818200,19,51
1578818907,50,17
1578819626,25,109
1578820375,100,78
1578821047,63,40
1578821771,42,80
1578822498,39,41
1578823222,69,26
1578824192,51,96
1578824888,84,35
1578825613,28,55
1578826329,51,56
1578827304,51,75
1578828009,48,54
1578828740,84,38
1578829448,37,61
1578830167,47,30
1578830910,35,51
1578831631,47,24
1578832348,53,40
1578833064,38,34
1578833785,34,45
1578834749,58,70
1578835462,40,37
1578836425,79,45
1578837138,41,29
1578838114,29,72
1578838818,32,58
1578839544,74,23
1578840266,39,29
1578840996,30,90
1578841966,45,42
1578842659,90,42
1578843626,34,73
1578844338,64,39
1578845071,49,60
1578845788,30,48
1578846499,85,41
1578847222,29,84
1578847942,80,30
1578848662,47,30
1578849630,44,48
1578850354,41,57
1578851062,39,57
1578851792,88,47
1578852758,53,62
1578853462,33,38
1578854183,38,50
1578854902,83,32
1578855629,37,37
1578856346,35,29
1578857068,25,57
1578857781,51,41
1578858509,44,41
1578859235,49,64
1578859967,44,58
1578860663,81,44
1578861625,42,94
1578862344,85,56
1578863310,46,118
1578864023,68,86
1578864756,63,74
1578865460,81,35
1578866183,54,45
1578866900,35,42
1578867618,37,49
1578868344,48,31
1578869060,48,35
1578869790,34,46
1578870505,70,36
1578871219,31,71
1578871949,27,49
1578872662,36,56
1578873379,58,42
1578874361,51,35
1578875064,30,55
1578875794,56,33
1578876502,45,54
1578877219,87,48
1578877945,32,67
1578878663,36,64
1578879398,49,56
1578880109,46,45
1578880827,76,56
1578881577,66,55
1578882259,75,42
1578882987,33,48
1578883704,40,49
1578884430,50,70
1578885153,75,60
1578885868,48,34
