DateTime,AddedIPs,RemovedIPs
1578404113,6,6
1578405778,12,6
1578407113,5,0
1578408315,5,6
1578409816,14,1
1578410894,8,0
1578412576,6,3
1578413653,12,4
1578415516,11,1
1578417253,8,4
1578418400,8,7
1578420445,6,10
1578421815,8,2
1578422533,3,1
1578423375,9,1
1578424516,13,2
1578425711,10,10
1578426848,4,0
1578428055,9,5
1578428894,12,0
1578430109,9,15
1578430831,1,10
1578431655,5,0
1578433217,13,15
1578435015,12,8
1578436095,5,0
1578438622,6,15
1578440715,10,16
1578442453,8,5
1578443295,2,0
1578444510,8,10
1578445813,11,6
1578447735,5,12
1578449423,7,8
1578452504,22,13
1578454093,66,3
1578454934,2,48
1578456618,10,9
1578458544,12,13
1578459376,4,0
1578460456,2,4
1578461293,9,1
1578462135,6,4
1578464056,13,4
1578465735,8,3
1578467654,9,3
1578468497,7,0
1578470115,7,16
1578471253,7,8
1578472813,13,17
1578474614,16,10
1578474854,1,0
1578475695,5,2
1578477313,10,10
1578478454,3,5
1578479715,11,6
1578480915,9,5
1578482112,6,9
1578483221,5,8
1578484835,10,8
1578485655,5,0
1578486914,13,15
1578488114,6,6
1578489255,5,9
1578490935,11,9
1578491775,5,1
1578492915,1,9
1578494114,6,10
1578495262,7,10
1578496516,7,9
1578498136,5,15
1578498973,4,0
1578500117,14,9
1578501618,14,14
1578503423,10,6
1578504492,3,0
1578506014,4,17
1578507253,9,10
1578508094,10,0
1578509713,7,20
1578511694,18,10
1578512539,9,15
1578513376,9,0
1578514518,7,11
1578516016,11,14
1578517302,8,10
1578518893,7,2
1578520514,7,9
1578521652,2,6
1578523350,7,15
1578525254,9,11
1578526817,4,8
1578528616,11,15
1578528855,1,0
1578530534,5,9
1578532215,4,10
1578533395,3,14
1578535823,11,7
1578536895,7,1
1578537735,4,7
1578539266,6,6
1578540495,64,0
1578543017,16,61
1578544093,3,2
1578546624,15,33
1578547818,3,20
1578550217,8,6
1578551403,5,12
1578552137,2,6
1578553238,8,11
1578554897,10,2
1578555736,2,8
1578556834,3,6
1578557655,1,1
1578558493,9,1
1578559993,8,18
1578561315,6,15
1578562936,9,19
1578563772,0,1
1578564853,7,6
1578565695,6,0
1578566534,4,21
1578568223,0,3
1578569295,5,2
1578572053,17,18
1578573617,6,12
1578575657,5,13
1578576493,3,0
1578577347,3,14
1578579254,9,3
1578580093,3,0
1578582855,7,26
1578583695,1,1
1578585002,14,21
1578586215,4,5
1578586454,1,0
1578587715,6,5
1578589826,14,5
1578591017,7,12
1578591735,5,3
1578593170,8,11
