DateTime,Entries,UniqueIPs
1578708213,20235,20235
1578708933,20224,20224
1578709653,20221,20221
1578710374,20218,20218
1578711093,20220,20220
1578712053,20221,20221
1578712773,20218,20218
1578713493,20269,20269
1578714213,20273,20273
1578714933,20273,20273
1578715653,20264,20264
1578716373,20262,20262
1578717095,20252,20252
1578717814,20249,20249
1578718533,20230,20230
1578719252,20222,20222
1578720033,20226,20226
1578720693,20225,20225
1578721413,20229,20229
1578722134,20225,20225
1578722853,20224,20224
1578723572,20214,20214
1578724294,20212,20212
1578725014,20212,20212
1578725733,20206,20206
1578726453,20208,20208
1578727173,20206,20206
1578727894,20206,20206
1578728614,20208,20208
1578729333,20203,20203
1578730054,20203,20203
1578730773,20203,20203
1578731493,20204,20204
1578732214,20199,20199
1578732934,20197,20197
1578733892,20199,20199
1578734613,20195,20195
1578735334,20193,20193
1578736232,20187,20187
1578736833,20192,20192
1578737493,20190,20190
1578738213,20195,20195
1578738934,20192,20192
1578739653,20189,20189
1578740374,20189,20189
1578741092,20190,20190
1578741812,20185,20185
1578742532,20190,20190
1578743253,20191,20191
1578743973,20188,20188
1578744693,20188,20188
1578745413,20191,20191
1578746132,20188,20188
1578746853,20185,20185
1578747574,20185,20185
1578748294,20189,20189
1578749013,20190,20190
1578749733,20193,20193
1578750453,20195,20195
1578751174,20189,20189
1578751894,20187,20187
1578752613,20188,20188
1578753333,20184,20184
1578754054,20187,20187
1578754772,20186,20186
1578755493,20182,20182
1578756213,20179,20179
1578756932,20191,20191
1578757653,20191,20191
1578758374,20196,20196
1578759093,20209,20209
1578759813,20199,20199
1578760532,20196,20196
1578761253,20192,20192
1578761973,20197,20197
1578762694,20188,20188
1578763413,20183,20183
1578764133,20184,20184
1578764853,20187,20187
1578765572,20183,20183
1578766292,20186,20186
1578767013,20188,20188
1578767732,20184,20184
1578768453,20181,20181
1578769173,20184,20184
1578769893,20186,20186
1578770613,20185,20185
1578771333,20177,20177
1578772052,20178,20178
1578772774,20182,20182
1578773493,20175,20175
1578774214,20168,20168
1578774933,20166,20166
1578775654,20244,20244
1578776374,20242,20242
1578777094,20244,20244
1578777812,20242,20242
1578778532,20239,20239
1578779253,20242,20242
1578780092,20238,20238
1578780752,20240,20240
1578782372,20248,20248
1578783093,20247,20247
1578784534,20244,20244
1578785254,20250,20250
1578785973,20248,20248
1578786693,20253,20253
1578787414,20250,20250
1578788133,20256,20256
1578788853,20265,20265
1578789812,20259,20259
1578791973,20273,20273
1578792694,20277,20277
1578793412,20277,20277
1578794134,20269,20269
1578794854,20267,20267
1578795574,20267,20267
1578796293,20279,20279
1578797013,20284,20284
1578797733,20287,20287
1578798693,20285,20285
1578799413,20292,20292
1578800134,20247,20247
1578800853,20246,20246
1578801573,20236,20236
1578802292,20235,20235
1578803013,20231,20231
1578803734,20234,20234
1578804692,20232,20232
1578805413,20232,20232
1578806133,20228,20228
1578806853,20223,20223
1578807573,20222,20222
1578808294,20227,20227
1578809013,20221,20221
1578809734,20223,20223
1578810452,20222,20222
1578811173,20233,20233
1578811893,20235,20235
1578812853,20228,20228
1578813573,20221,20221
1578814293,20222,20222
1578815012,20240,20240
1578815732,20241,20241
1578816694,20235,20235
1578817414,20230,20230
1578818133,20230,20230
1578818853,20228,20228
1578819573,20227,20227
1578820772,20231,20231
1578821493,20230,20230
1578822212,20234,20234
1578822934,20232,20232
1578823653,20236,20236
1578824613,20238,20238
1578825333,20234,20234
1578826052,20232,20232
1578826773,20223,20223
1578827732,20225,20225
1578828453,20233,20233
1578829172,20235,20235
1578829892,20236,20236
1578830853,20228,20228
1578831573,20228,20228
1578832293,20228,20228
1578833012,20228,20228
1578833734,20230,20230
1578834694,20225,20225
1578835412,20225,20225
1578836377,20221,20221
1578837092,20213,20213
1578838053,20215,20215
1578838773,20220,20220
1578839493,20219,20219
1578840212,20219,20219
1578841892,20226,20226
1578842613,20223,20223
1578843573,20206,20206
1578844293,20214,20214
1578845013,20208,20208
1578845734,20194,20194
1578846452,20197,20197
1578847174,20195,20195
1578847893,20190,20190
1578848613,20187,20187
1578849573,20187,20187
1578850292,20192,20192
1578851012,20186,20186
1578851733,20192,20192
1578852693,20192,20192
1578853413,20194,20194
1578854134,20192,20192
1578854853,20189,20189
1578855572,20188,20188
1578856292,20188,20188
1578857012,20190,20190
1578857732,20191,20191
1578858453,20191,20191
1578859892,20190,20190
1578860613,20190,20190
1578861574,20131,20131
1578862292,20120,20120
1578863253,20121,20121
1578863973,20121,20121
1578864693,20124,20124
1578865413,20122,20122
1578866134,20124,20124
1578866854,20126,20126
1578867573,20122,20122
1578868294,20120,20120
1578869012,20119,20119
1578869732,20123,20123
1578870453,20120,20120
1578871172,20120,20120
1578871892,20117,20117
1578872613,20123,20123
1578873333,20122,20122
1578874293,20123,20123
1578875014,20130,20130
1578875732,20136,20136
1578876452,20135,20135
1578877174,20136,20136
1578877894,20130,20130
1578878613,20132,20132
1578879332,20128,20128
1578880053,20130,20130
1578880773,20139,20139
1578881493,20147,20147
1578882213,20150,20150
1578882933,20146,20146
1578883653,20144,20144
1578884372,20142,20142
1578885094,20141,20141
1578885814,20140,20140
1578886533,20144,20144
1578887254,20142,20142
1578887973,20154,20154
1578888693,20153,20153
1578889412,20159,20159
1578890133,20165,20165
1578890853,20165,20165
1578891574,20168,20168
1578892292,20172,20172
1578893013,20170,20170
1578893734,20166,20166
1578894453,20164,20164
1578895173,20160,20160
1578895893,20162,20162
1578896613,20208,20208
1578897333,20209,20209
1578898054,20205,20205
1578898773,20201,20201
1578899492,20203,20203
1578900213,20208,20208
1578900933,20197,20197
1578901653,20199,20199
1578902373,20198,20198
1578903094,20203,20203
1578903813,20198,20198
1578904534,20190,20190
1578905253,20187,20187
1578905973,20187,20187
1578906693,20186,20186
1578907412,20186,20186
1578908133,20189,20189
1578908853,20190,20190
1578909574,20275,20275
1578910293,20271,20271
1578911012,20310,20310
1578911972,20315,20315
1578912693,20319,20319
1578913414,20324,20324
1578914133,20323,20323
1578914854,20321,20321
1578915573,20321,20321
1578916293,20314,20314
1578917013,20318,20318
1578918223,19663,19663
1578918933,19667,19667
1578919653,19663,19663
1578920374,19664,19664
1578921092,19663,19663
1578921813,19669,19669
1578922773,19672,19672
1578923974,19673,19673
1578924694,19672,19672
1578925414,19672,19672
1578926374,19676,19676
1578927093,19675,19675
1578928294,19676,19676
1578929014,19677,19677
1578929732,19682,19682
1578930454,19684,19684
1578931174,19687,19687
1578931893,19690,19690
1578932613,19690,19690
1578933332,19692,19692
1578934052,19697,19697
1578934772,19697,19697
1578935733,19693,19693
1578936453,19693,19693
1578937653,19688,19688
1578938373,19684,19684
1578939093,19687,19687
1578939814,19682,19682
1578940533,19680,19680
1578941252,19679,19679
1578941973,19675,19675
1578942693,19674,19674
1578943413,19671,19671
1578944373,19668,19668
1578945093,19674,19674
1578945813,19677,19677
1578946772,19692,19692
1578947493,19689,19689
1578948212,19688,19688
1578948932,19688,19688
1578949652,19684,19684
1578950373,19684,19684
1578951093,19685,19685
1578951813,19685,19685
1578952532,19688,19688
1578953252,19688,19688
1578954452,19696,19696
1578955413,19696,19696
1578956132,19693,19693
1578957093,19688,19688
1578957814,19694,19694
1578958533,19696,19696
1578959253,19696,19696
1578960453,19691,19691
1578961412,19679,19679
1578962134,19678,19678
1578962853,19680,19680
1578963572,19682,19682
1578964293,19680,19680
1578965014,19682,19682
1578965733,19681,19681
1578966452,19689,19689
1578967173,19682,19682
1578967893,19682,19682
1578968612,19682,19682
1578969573,19673,19673
1578970292,19675,19675
1578971013,19679,19679
1578971732,19676,19676
1578972454,19676,19676
1578973173,19687,19687
1578973894,19683,19683
1578974613,19683,19683
1578975333,19685,19685
1578976293,19674,19674
1578977013,19679,19679
1578977733,19680,19680
1578978454,19681,19681
1578979173,19681,19681
1578979893,19674,19674
1578980613,19674,19674
1578981333,19679,19679
1578982053,19679,19679
1578982773,19679,19679
1578983493,19642,19642
1578984212,19646,19646
1578984933,19655,19655
1578985653,19654,19654
1578986612,19678,19678
1578987333,19680,19680
1578988054,19677,19677
1578988773,19679,19679
1578989494,19681,19681
1578990214,19680,19680
1578990933,19681,19681
1578991893,19691,19691
1578992853,19684,19684
1578993573,19689,19689
1578994293,19682,19682
1578995012,19679,19679
1578995733,19617,19617
1578996453,19617,19617
1578997173,19619,19619
1578997893,19620,19620
1578998613,19621,19621
1578999332,19621,19621
