DateTime,AddedIPs,RemovedIPs
1578583684,13,14
1578584711,41,0
1578585627,65,143
1578586203,72,45
1578587537,13,7
1578587702,57,82
1578589699,6,12
1578589803,88,77
1578591003,69,88
1578591851,9,12
1578591911,34,24
1578593777,67,84
1578595701,105,211
1578597242,82,89
1578597606,7,15
1578598498,40,98
1578599532,17,9
1578601461,117,395
1578602522,53,158
1578603365,10,19
1578604443,73,72
1578605284,9,13
1578607214,99,129
1578607802,57,56
1578609146,7,10
1578611052,78,96
1578611643,410,83
1578612981,17,25
1578615151,383,203
1578615602,53,0
1578617048,17,7
1578617762,118,120
1578618969,8,6
1578620897,66,73
1578621879,124,162
1578623050,12,4
1578624968,70,9
1578626043,119,188
1578626898,11,12
1578627247,47,71
1578628826,16,11
1578628874,73,83
1578630748,15,7
1578632663,132,131
1578633242,63,58
1578634569,17,15
1578634789,64,100
1578636502,18,11
1578636603,88,56
1578638417,18,10
1578640342,65,133
1578641412,140,264
1578642685,23,13
1578644042,0,19318
1578644907,16,19
1578646732,19276,19
1578647643,78,59
1578648980,57,20
1578650163,69,122
1578651154,17,18
1578651304,50,41
1578653307,11,8
1578655180,148,785
1578656525,86,137
1578657134,21,1052
1578659025,370,78
1578659403,48,107
1578660967,15,4
1578662887,125,116
1578663012,48,347
1578663722,0,19126
1578665058,19164,10
1578665643,46,78
1578666974,68,12
1578668039,64,143
1578668913,8,15
1578669243,50,100
1578670204,1532,0
1578670809,15,15
1578671170,47,127
1578673238,117,105
1578673683,30,1
1578674522,39,111
1578675131,11,19
1578676202,73,65
1578677299,16,18
1578678123,82,139
1578679216,14,9
1578679401,65,71
1578681616,14,17
1578681724,85,151
1578683805,13,18835
1578684611,18793,0
1578685689,16,17
1578686165,63,29
1578687613,13,13
1578689550,123,508
1578690603,71,51
1578691465,12,6
1578692965,119,109
1578693363,12,12
1578694202,53,57
1578695299,7,10
1578695358,48,81
1578697203,6,12
1578699151,121,125
1578699303,42,91
1578701053,534,0
1578701643,93,80
1578702993,15,8
1578703205,68,149
1578704895,17,2
1578705004,74,56
1578705598,768,0
1578706823,21,9
1578707762,115,139
1578708731,8,8
1578708903,47,68
1578710650,13,12
1578711362,80,151
1578712580,12,13
1578713283,58,60
1578714123,24,132
1578714739,4,9
1578716043,61,88
1578716648,10,6
1578717732,62,90
1578718593,8,19
1578720513,36,15
1578721202,96,168
1578722421,40,9
1578723243,39,84
1578724352,11,14
