DateTime,AddedIPs,RemovedIPs
1578577321,5,0
1578578522,3,0
1578579121,5,0
1578579721,7,0
1578580921,6,0
1578581521,6,0
1578582122,2,0
1578584521,13,0
1578586321,3,0
1578586921,2,0
1578587521,1,0
1578588721,1,0
1578588722,1,0
1578589321,2,0
1578589921,1,0
1578590522,2,0
1578591122,1,0
1578591722,0,1
1578592921,2,0
1578594121,4,0
1578594722,2,0
1578595321,1,0
1578595921,2,0
1578597722,1,0
1578598921,5,0
1578600121,3,0
1578600722,1,0
1578601922,4,0
1578602522,1,0
1578603721,3,0
1578604322,3,0
1578604921,1,0
1578606121,1,0
1578607322,4,0
1578607921,4,0
1578608522,1,0
1578609721,3,0
1578610922,3,0
1578611522,2,0
1578612121,1,0
1578613921,1,0
1578614521,2,0
1578616921,4,0
1578617521,1,0
1578618121,1,0
1578618721,4,0
1578619322,3,0
1578620206,943,288
1578620521,1,0
1578621121,1,0
1578621721,2,0
1578622321,1,0
1578623522,2,0
1578625321,9,0
1578625921,1,0
1578627722,2,1
1578628921,1,0
1578630721,3,0
1578631921,5,0
1578633121,1,0
1578633721,1,0
1578634321,1,0
1578634921,7,0
1578636121,1,0
1578636722,12,0
1578637321,1,0
1578639121,2,0
1578639721,13,0
1578640921,1,0
1578641521,1,0
1578642121,1,0
1578643322,1,1
1578643921,2,0
1578644521,2,0
1578645721,6,0
1578647522,4,0
1578649321,3,0
1578651121,1,0
1578651722,2,0
1578652322,2,0
1578654121,5,0
1578655922,3,0
1578656521,2,0
1578657121,5,0
1578658322,2,0
1578658922,2,0
1578660121,2,0
1578660721,1,0
1578661321,1,0
1578661921,2,0
1578663121,3,0
1578663721,2,0
1578664321,1,0
1578664921,1,0
1578665521,4,0
1578666122,1,0
1578666721,1,0
1578667321,3,0
1578669121,1,0
1578670321,2,0
1578672121,1,1
1578672721,1,0
1578673921,1,0
1578674521,5,0
1578675121,1,0
1578675721,1,0
1578676322,18,0
1578676922,3,0
1578677521,2,0
1578678122,2,0
1578678721,1,0
1578679922,0,1
1578680521,2,0
1578681721,1,0
1578682921,2,0
1578683521,1,0
1578684722,5,0
1578685322,1,0
1578686522,3,0
1578687122,3,0
1578687721,2,0
1578688321,1,0
1578689521,2,0
1578690121,1,0
1578690722,3,0
1578691321,7,0
1578692522,16,0
1578693121,1,0
1578693721,2,0
1578694321,1,0
1578694922,7,0
1578696121,11,0
1578697321,2,0
1578697921,7,0
1578699121,1,0
1578699722,2,1
1578700322,1,0
1578700922,1,0
1578702721,1,0
1578703321,2,0
1578705122,1,0
1578705722,9,0
1578706921,6,0
1578707318,985,394
1578709922,1,0
1578710521,2,0
1578711121,0,1
1578711721,2,0
1578712322,2,0
1578714121,7,0
1578715321,4,0
1578716522,2,0
1578717121,10,0
1578717721,1,0
1578718321,2,0
1578720026,1,0
1578720722,1,0
1578721322,3,0
1578722521,4,0
1578723121,2,0
1578723721,1,0
1578724922,4,0
1578725521,2,0
1578726121,7,0
1578727322,1,0
1578727921,2,0
1578729121,4,1
1578730921,1,0
1578731521,1,0
1578733321,12,0
1578734521,3,0
1578735121,13,0
1578736921,7,0
1578737521,2,0
1578738122,2,0
1578739321,3,0
1578739921,1,1
1578740521,1,0
1578741722,2,0
1578744721,2,0
1578745921,1,1
1578747122,5,0
1578748322,2,0
1578750121,1,0
1578750721,2,0
1578751321,2,0
1578753721,5,0
1578756121,2,0
1578756722,2,1
1578757321,2,0
1578758521,1,0
1578759721,2,0
1578760321,0,1
1578760921,2,0
1578762122,2,0
1578763321,3,0
1578763921,3,0
1578765721,1,0
1578766921,2,0
1578768121,2,0
1578768721,12,0
1578769321,5,0
1578771722,3,0
1578772321,1,0
1578774721,4,0
1578775322,1,0
1578775921,10,0
1578777121,1,0
1578778921,5,0
1578781921,2,0
1578782521,4,0
1578783121,0,1
1578784922,6,0
1578786121,5,0
1578786721,1,0
1578788521,7,0
1578789121,2,0
1578789721,2,1
1578790322,1,0
1578791435,2,0
1578794439,1073,396
1578794521,2,0
1578795121,2,0
1578796321,11,0
1578798121,4,0
1578798721,0,1
1578799321,3,0
