DateTime,AddedIPs,RemovedIPs
1578622921,1,2
1578623522,1,2
1578624121,1,0
1578625321,6,6
1578625921,0,12
1578627121,0,4
1578627722,4,1
1578628921,1,1
1578629521,3,11
1578631321,2,1
1578631921,5,0
1578632522,0,5
1578633121,1,37
1578634321,3,22
1578634921,2,4
1578636121,1,6
1578636722,3,5
1578637321,2,0
1578638521,2,1
1578639721,14,0
1578640921,0,2
1578641521,2,2
1578642121,2,1
1578643322,3,2
1578643921,3,5
1578644521,1,4
1578645721,7,0
1578647522,4,4
1578648121,1,0
1578648722,1,0
1578649321,3,0
1578649921,2,0
1578651121,1,8
1578651722,2,2
1578652322,4,1
1578652921,1,1
1578654121,3,3
1578655922,8,13
1578657121,2,6
1578657721,3,2
1578658922,3,0
1578660121,3,14
1578660721,1,5
1578661321,2,0
1578663121,3,6
1578663721,0,1
1578664321,3,1
1578664921,3,0
1578665521,4,0
1578666122,1,3
1578666721,1,0
1578667321,2,2
1578668521,1,2
1578669721,2,3
1578670922,1,1
1578672721,1,5
1578673321,3,0
1578673921,1,0
1578674521,3,0
1578675121,1,0
1578675721,1,0
1578676322,10,5
1578676922,4,3
1578677521,6,0
1578678122,4,0
1578678721,1,1
1578679321,1,2
1578680521,2,2
1578681721,1,3
1578682921,3,1
1578683521,2,0
1578684121,1,4
1578684722,5,0
1578685322,2,3
1578686522,4,0
1578687122,3,3
1578687721,3,0
1578688321,2,2
1578688921,1,0
1578689521,3,3
1578692522,0,5
1578693721,4,9
1578694922,1,1
1578696121,6,0
1578697321,2,0
1578697921,1,0
1578698521,1,4
1578699121,2,1
1578700322,2,0
1578702122,1,2
1578702721,1,0
1578703321,4,4
1578704521,1,3
1578705122,2,2
1578705722,2,1
1578706921,6,2
1578709321,1,0
1578709922,1,3
1578710521,2,0
1578711721,2,8
1578712322,3,0
1578713522,1,1
1578714121,2,9
1578716522,1,3
1578717121,14,0
1578717721,3,14
1578718921,0,9
1578720722,1,2
1578721322,2,16
1578722521,7,4
1578723121,2,2
1578723721,1,3
1578724922,3,4
1578725521,4,8
1578726121,1,19
1578727322,3,4
1578728521,1,4
1578729121,6,3
1578729722,1,0
1578730921,2,1
1578733321,13,6
1578734521,4,6
1578735121,4,7
1578735721,2,0
1578736921,3,2
1578737521,1,0
1578738122,3,0
1578739321,2,1
1578740521,1,3
1578741722,3,0
1578742921,1,1
1578744721,2,0
1578745322,0,3
1578746521,1,3
1578747122,4,0
1578748322,6,0
1578748921,0,1
1578750121,1,0
1578750721,2,3
1578751321,2,0
1578752521,1,0
1578753121,1,0
1578754922,1,8
1578756121,4,1
1578757321,3,0
1578757921,2,4
1578759721,3,0
1578760321,1,0
1578760921,1,3
1578762122,2,1
1578763321,4,4
1578763921,3,0
1578764521,0,3
1578765721,1,2
1578766321,1,0
1578766921,3,0
1578768121,0,17
1578768721,14,0
1578769321,4,0
1578771722,3,3
1578772922,0,5
1578774122,5,0
1578775322,2,1
1578775921,2,0
1578776522,0,3
1578777721,2,0
1578778921,2,13
1578780721,0,30
1578781321,0,1
1578781921,1,0
1578782521,5,1
1578783721,0,3
1578784922,7,3
1578786121,2,2
1578787321,13,4
1578787921,3,1
1578789121,3,7
1578789721,1,0
1578790322,3,2
1578790922,6,2
1578794521,2,4
1578795121,3,5
1578795721,1,0
1578796321,5,0
1578798121,5,6
1578798721,0,6
1578799321,3,1
1578799921,7,0
1578800521,0,2
1578802921,1,1
1578803521,4,5
1578805321,9,1
1578806521,4,2
1578807722,3,3
1578808921,4,4
1578809521,2,1
1578811321,2,0
1578812521,2,0
1578813721,4,2
1578814322,2,1
1578815521,1,0
1578816121,3,0
1578817321,2,2
1578818521,5,4
1578820321,2,10
1578820922,2,3
1578821521,4,4
1578822721,5,3
1578823322,2,2
1578823921,4,0
1578824521,8,0
1578825721,1,0
1578826921,1,6
1578828122,1,3
1578829322,2,3
1578830521,4,3
1578831721,4,6
1578832321,1,0
1578832922,1,0
1578834121,2,1
1578834721,2,5
1578835921,5,1
1578836521,2,0
1578837121,1,7
1578837721,0,3
1578839522,3,1
1578840121,1,10
1578841321,1,3
1578843121,3,0
1578843722,1,8
1578844921,1,0
1578845522,1,2
1578846721,4,3
1578847921,4,1
1578848521,2,0
1578849121,1,0
1578849722,2,4
1578850922,1,0
1578851521,2,3
1578852122,6,0
1578852721,1,1
1578853321,4,2
1578854521,1,23
1578855722,2,3
1578856921,1,21
1578858121,1,0
1578859321,1,7
1578861121,8,5
1578861722,3,0
1578862921,5,7
1578863521,3,0
1578864121,1,0
1578865322,3,2
1578866522,0,1
1578867721,3,8
1578870121,1,11
1578871322,5,0
1578871922,0,1
1578872521,5,38
1578873121,1,5
1578874322,0,5
1578874921,6,0
1578875522,1,2
1578876121,3,0
1578876721,2,4
1578877321,1,0
